R4ID,Identificador,Dist,Ranitas_C4M,C4M
0,15166,0,1,1
1,15167,0,1,1
2,15358,0,2,1
3,15359,2,0,0
4,15550,0,2,1
5,15551,1,0,0
6,15742,0,1,1
7,15743,1,0,0
8,15934,0,0,1
9,15935,1,0,0
10,16126,0,0,1
11,16127,1,0,0
12,16317,0,0,1
13,16318,0,1,1
14,16319,1,0,0
15,16509,0,0,1
16,16510,2,0,0
17,16511,3,0,0
18,16701,0,1,1
19,16702,1,0,0
20,16703,2,0,0
21,16893,0,1,1
22,16894,1,0,0
23,16895,2,0,0
24,17085,0,0,1
25,17086,1,0,0
26,17087,2,0,0
27,17276,0,1,1
28,17277,0,2,1
29,17278,1,0,0
30,17279,2,0,0
31,17468,0,1,1
32,17469,1,0,0
33,17470,2,0,0
34,17471,3,0,0
35,17660,0,0,1
36,17661,2,0,0
37,17662,3,0,0
38,17663,4,0,0
39,17852,0,1,1
40,17853,2,0,0
41,17854,3,0,0
42,17855,4,0,0
43,18043,0,0,1
44,18044,0,1,1
45,18045,2,0,0
46,18046,3,0,0
47,18047,4,0,0
48,18235,0,1,1
49,18236,1,0,0
50,18237,3,0,0
51,18238,4,0,0
52,18239,5,0,0
53,18427,0,2,1
54,18428,1,0,0
55,18429,2,0,0
56,18430,3,0,0
57,18431,4,0,0
58,18619,0,1,1
59,18620,1,0,0
60,18621,2,0,0
61,18622,3,0,0
62,18623,4,0,0
63,18810,0,1,1
64,18811,0,0,1
65,18812,1,0,0
66,18813,2,0,0
67,18814,3,0,0
68,18815,4,0,0
69,19002,0,2,1
70,19003,1,0,0
71,19004,2,0,0
72,19005,4,0,0
73,19006,5,0,0
74,19007,6,0,0
75,19146,0,0,1
76,19147,0,0,1
77,19148,0,0,1
78,19192,0,0,1
79,19193,0,1,1
80,19194,0,0,1
81,19195,1,0,0
82,19196,2,0,0
83,19197,3,0,0
84,19198,4,0,0
85,19199,5,0,0
86,19338,0,0,1
87,19339,1,0,0
88,19340,0,0,1
89,19341,0,2,1
90,19342,0,1,1
91,19343,0,2,1
92,19344,0,0,1
93,19345,0,2,1
94,19346,0,3,1
95,19347,0,1,1
96,19348,0,3,1
97,19349,0,2,1
98,19350,0,0,1
99,19351,0,1,1
100,19352,0,1,1
101,19353,0,0,1
102,19354,0,1,1
103,19355,0,1,1
104,19356,0,2,1
105,19357,0,1,1
106,19358,0,0,1
107,19359,0,0,1
108,19382,0,0,1
109,19383,0,0,1
110,19384,0,0,1
111,19385,1,0,0
112,19386,1,0,0
113,19387,2,0,0
114,19388,3,0,0
115,19389,4,0,0
116,19390,5,0,0
117,19391,6,0,0
118,19530,0,7,1
119,19531,1,0,0
120,19532,1,0,0
121,19533,1,0,0
122,19534,1,0,0
123,19535,1,0,0
124,19536,1,0,0
125,19537,1,0,0
126,19538,1,0,0
127,19539,1,0,0
128,19540,1,0,0
129,19541,1,0,0
130,19542,1,0,0
131,19543,1,0,0
132,19544,1,0,0
133,19545,1,0,0
134,19546,1,0,0
135,19547,1,0,0
136,19548,1,0,0
137,19549,1,0,0
138,19550,1,0,0
139,19551,0,0,1
140,19552,0,2,1
141,19553,0,1,1
142,19554,0,0,1
143,19555,0,0,1
144,19556,0,0,1
145,19557,0,0,1
146,19572,0,1,1
147,19573,0,1,1
148,19574,0,0,1
149,19575,1,0,0
150,19576,1,0,0
151,19577,2,0,0
152,19578,3,0,0
153,19579,4,0,0
154,19580,5,0,0
155,19581,6,0,0
156,19582,7,0,0
157,19583,8,0,0
158,19722,0,3,1
159,19723,1,0,0
160,19724,2,0,0
161,19725,2,0,0
162,19726,2,0,0
163,19727,2,0,0
164,19728,2,0,0
165,19729,2,0,0
166,19730,2,0,0
167,19731,2,0,0
168,19732,2,0,0
169,19733,2,0,0
170,19734,2,0,0
171,19735,2,0,0
172,19736,2,0,0
173,19737,2,0,0
174,19738,2,0,0
175,19739,2,0,0
176,19740,2,0,0
177,19741,2,0,0
178,19742,2,0,0
179,19743,1,0,0
180,19744,1,0,0
181,19745,1,0,0
182,19746,1,0,0
183,19747,1,0,0
184,19748,1,0,0
185,19749,0,0,1
186,19750,0,1,1
187,19751,0,0,1
188,19752,0,3,1
189,19753,0,0,1
190,19754,0,0,1
191,19761,0,1,1
192,19762,0,0,1
193,19763,0,1,1
194,19764,0,2,1
195,19765,1,0,0
196,19766,1,0,0
197,19767,2,0,0
198,19768,2,0,0
199,19769,3,0,0
200,19770,4,0,0
201,19771,5,0,0
202,19772,6,0,0
203,19773,7,0,0
204,19774,8,0,0
205,19775,9,0,0
206,19913,0,0,1
207,19914,0,4,1
208,19915,1,0,0
209,19916,2,0,0
210,19917,3,0,0
211,19918,3,0,0
212,19919,3,0,0
213,19920,3,0,0
214,19921,3,0,0
215,19922,3,0,0
216,19923,3,0,0
217,19924,3,0,0
218,19925,3,0,0
219,19926,3,0,0
220,19927,3,0,0
221,19928,3,0,0
222,19929,3,0,0
223,19930,3,0,0
224,19931,3,0,0
225,19932,3,0,0
226,19933,3,0,0
227,19934,3,0,0
228,19935,2,0,0
229,19936,2,0,0
230,19937,2,0,0
231,19938,2,0,0
232,19939,2,0,0
233,19940,2,0,0
234,19941,1,0,0
235,19942,1,0,0
236,19943,1,0,0
237,19944,1,0,0
238,19945,1,0,0
239,19946,0,2,1
240,19947,0,3,1
241,19948,0,1,1
242,19949,0,2,1
243,19950,0,0,1
244,19951,0,1,1
245,19952,0,0,1
246,19953,1,0,0
247,19954,1,0,0
248,19955,1,0,0
249,19956,1,0,0
250,19957,2,0,0
251,19958,2,0,0
252,19959,3,0,0
253,19960,3,0,0
254,19961,4,0,0
255,19962,5,0,0
256,19963,6,0,0
257,19964,7,0,0
258,19965,8,0,0
259,19966,9,0,0
260,19967,10,0,0
261,20105,0,4,1
262,20106,2,0,0
263,20107,3,0,0
264,20108,4,0,0
265,20109,6,0,0
266,20110,6,0,0
267,20111,6,0,0
268,20112,6,0,0
269,20113,6,0,0
270,20114,6,0,0
271,20115,6,0,0
272,20116,6,0,0
273,20117,6,0,0
274,20118,6,0,0
275,20119,6,0,0
276,20120,6,0,0
277,20121,6,0,0
278,20122,6,0,0
279,20123,6,0,0
280,20124,6,0,0
281,20125,6,0,0
282,20126,6,0,0
283,20127,4,0,0
284,20128,4,0,0
285,20129,4,0,0
286,20130,4,0,0
287,20131,4,0,0
288,20132,4,0,0
289,20133,4,0,0
290,20134,4,0,0
291,20135,4,0,0
292,20136,4,0,0
293,20137,4,0,0
294,20138,3,0,0
295,20139,2,0,0
296,20140,2,0,0
297,20141,2,0,0
298,20142,2,0,0
299,20143,2,0,0
300,20144,2,0,0
301,20145,3,0,0
302,20146,3,0,0
303,20147,3,0,0
304,20148,3,0,0
305,20149,4,0,0
306,20150,4,0,0
307,20151,6,0,0
308,20152,6,0,0
309,20153,7,0,0
310,20154,7,0,0
311,20155,8,0,0
312,20156,9,0,0
313,20157,11,0,0
314,20158,12,0,0
315,20159,13,0,0
316,20297,0,2,1
317,20298,2,0,0
318,20299,3,0,0
319,20300,4,0,0
320,20301,7,0,0
321,20302,7,0,0
322,20303,7,0,0
323,20304,7,0,0
324,20305,7,0,0
325,20306,7,0,0
326,20307,7,0,0
327,20308,7,0,0
328,20309,7,0,0
329,20310,7,0,0
330,20311,7,0,0
331,20312,7,0,0
332,20313,7,0,0
333,20314,7,0,0
334,20315,7,0,0
335,20316,7,0,0
336,20317,7,0,0
337,20318,7,0,0
338,20319,5,0,0
339,20320,5,0,0
340,20321,5,0,0
341,20322,5,0,0
342,20323,5,0,0
343,20324,5,0,0
344,20325,5,0,0
345,20326,5,0,0
346,20327,5,0,0
347,20328,5,0,0
348,20329,5,0,0
349,20330,4,0,0
350,20331,3,0,0
351,20332,3,0,0
352,20333,3,0,0
353,20334,3,0,0
354,20335,3,0,0
355,20336,3,0,0
356,20337,4,0,0
357,20338,4,0,0
358,20339,4,0,0
359,20340,4,0,0
360,20341,5,0,0
361,20342,5,0,0
362,20343,7,0,0
363,20344,7,0,0
364,20345,8,0,0
365,20346,8,0,0
366,20347,9,0,0
367,20348,10,0,0
368,20349,12,0,0
369,20350,13,0,0
370,20351,14,0,0
371,20488,0,3,1
372,20489,0,1,1
373,20490,2,0,0
374,20491,3,0,0
375,20492,4,0,0
376,20493,7,0,0
377,20494,8,0,0
378,20495,8,0,0
379,20496,8,0,0
380,20497,8,0,0
381,20498,8,0,0
382,20499,8,0,0
383,20500,8,0,0
384,20501,8,0,0
385,20502,8,0,0
386,20503,8,0,0
387,20504,8,0,0
388,20505,8,0,0
389,20506,8,0,0
390,20507,8,0,0
391,20508,8,0,0
392,20509,8,0,0
393,20510,8,0,0
394,20511,6,0,0
395,20512,6,0,0
396,20513,6,0,0
397,20514,6,0,0
398,20515,6,0,0
399,20516,6,0,0
400,20517,6,0,0
401,20518,6,0,0
402,20519,6,0,0
403,20520,6,0,0
404,20521,6,0,0
405,20522,5,0,0
406,20523,4,0,0
407,20524,4,0,0
408,20525,4,0,0
409,20526,4,0,0
410,20527,4,0,0
411,20528,4,0,0
412,20529,5,0,0
413,20530,5,0,0
414,20531,5,0,0
415,20532,5,0,0
416,20533,6,0,0
417,20534,6,0,0
418,20535,8,0,0
419,20536,8,0,0
420,20537,9,0,0
421,20538,9,0,0
422,20539,10,0,0
423,20540,11,0,0
424,20541,13,0,0
425,20542,14,0,0
426,20543,15,0,0
427,20680,0,3,1
428,20681,2,0,0
429,20682,2,0,0
430,20683,3,0,0
431,20684,4,0,0
432,20685,5,0,0
433,20686,6,0,0
434,20687,12,0,0
435,20688,12,0,0
436,20689,12,0,0
437,20690,12,0,0
438,20691,12,0,0
439,20692,12,0,0
440,20693,12,0,0
441,20694,11,0,0
442,20695,11,0,0
443,20696,11,0,0
444,20697,12,0,0
445,20698,12,0,0
446,20699,12,0,0
447,20700,12,0,0
448,20701,12,0,0
449,20702,12,0,0
450,20703,10,0,0
451,20704,10,0,0
452,20705,10,0,0
453,20706,10,0,0
454,20707,10,0,0
455,20708,10,0,0
456,20709,9,0,0
457,20710,9,0,0
458,20711,9,0,0
459,20712,9,0,0
460,20713,9,0,0
461,20714,8,0,0
462,20715,7,0,0
463,20716,7,0,0
464,20717,7,0,0
465,20718,7,0,0
466,20719,7,0,0
467,20720,7,0,0
468,20721,8,0,0
469,20722,8,0,0
470,20723,8,0,0
471,20724,8,0,0
472,20725,9,0,0
473,20726,9,0,0
474,20727,11,0,0
475,20728,11,0,0
476,20729,12,0,0
477,20730,12,0,0
478,20731,13,0,0
479,20732,14,0,0
480,20733,16,0,0
481,20734,17,0,0
482,20735,18,0,0
483,20871,0,7,1
484,20872,0,1,1
485,20873,1,0,0
486,20874,2,0,0
487,20875,3,0,0
488,20876,4,0,0
489,20877,6,0,0
490,20878,7,0,0
491,20879,8,0,0
492,20880,13,0,0
493,20881,13,0,0
494,20882,13,0,0
495,20883,13,0,0
496,20884,13,0,0
497,20885,13,0,0
498,20886,12,0,0
499,20887,12,0,0
500,20888,12,0,0
501,20889,13,0,0
502,20890,13,0,0
503,20891,13,0,0
504,20892,13,0,0
505,20893,13,0,0
506,20894,13,0,0
507,20895,11,0,0
508,20896,11,0,0
509,20897,11,0,0
510,20898,11,0,0
511,20899,11,0,0
512,20900,11,0,0
513,20901,10,0,0
514,20902,10,0,0
515,20903,10,0,0
516,20904,10,0,0
517,20905,10,0,0
518,20906,9,0,0
519,20907,8,0,0
520,20908,8,0,0
521,20909,8,0,0
522,20910,8,0,0
523,20911,8,0,0
524,20912,8,0,0
525,20913,9,0,0
526,20914,9,0,0
527,20915,9,0,0
528,20916,9,0,0
529,20917,10,0,0
530,20918,10,0,0
531,20919,12,0,0
532,20920,12,0,0
533,20921,13,0,0
534,20922,13,0,0
535,20923,14,0,0
536,20924,15,0,0
537,20925,17,0,0
538,20926,18,0,0
539,20927,19,0,0
540,21062,0,2,1
541,21063,0,3,1
542,21064,1,0,0
543,21065,2,0,0
544,21066,3,0,0
545,21067,4,0,0
546,21068,5,0,0
547,21069,7,0,0
548,21070,8,0,0
549,21071,9,0,0
550,21072,14,0,0
551,21073,14,0,0
552,21074,14,0,0
553,21075,14,0,0
554,21076,14,0,0
555,21077,14,0,0
556,21078,13,0,0
557,21079,13,0,0
558,21080,13,0,0
559,21081,14,0,0
560,21082,14,0,0
561,21083,14,0,0
562,21084,14,0,0
563,21085,14,0,0
564,21086,14,0,0
565,21087,12,0,0
566,21088,12,0,0
567,21089,12,0,0
568,21090,12,0,0
569,21091,12,0,0
570,21092,12,0,0
571,21093,11,0,0
572,21094,11,0,0
573,21095,11,0,0
574,21096,11,0,0
575,21097,11,0,0
576,21098,10,0,0
577,21099,9,0,0
578,21100,9,0,0
579,21101,9,0,0
580,21102,9,0,0
581,21103,9,0,0
582,21104,9,0,0
583,21105,10,0,0
584,21106,10,0,0
585,21107,10,0,0
586,21108,10,0,0
587,21109,11,0,0
588,21110,11,0,0
589,21111,13,0,0
590,21112,13,0,0
591,21113,14,0,0
592,21114,14,0,0
593,21115,15,0,0
594,21116,16,0,0
595,21117,18,0,0
596,21118,19,0,0
597,21119,20,0,0
598,21253,0,3,1
599,21254,0,1,1
600,21255,2,0,0
601,21256,3,0,0
602,21257,4,0,0
603,21258,5,0,0
604,21259,6,0,0
605,21260,7,0,0
606,21261,8,0,0
607,21262,9,0,0
608,21263,10,0,0
609,21264,18,0,0
610,21265,18,0,0
611,21266,18,0,0
612,21267,18,0,0
613,21268,18,0,0
614,21269,18,0,0
615,21270,17,0,0
616,21271,17,0,0
617,21272,17,0,0
618,21273,18,0,0
619,21274,18,0,0
620,21275,18,0,0
621,21276,18,0,0
622,21277,18,0,0
623,21278,18,0,0
624,21279,16,0,0
