R3ID,Identificador,Dist,Ranitas_C5M,C5M
0,10752,0,2,1
1,10944,0,0,1
2,10945,0,2,1
3,10946,0,0,1
4,11136,1,0,0
5,11137,1,0,0
6,11138,0,0,1
7,11139,0,2,1
8,11140,0,1,1
9,11328,2,0,0
10,11329,2,0,0
11,11330,1,0,0
12,11331,1,0,0
13,11332,1,0,0
14,11333,0,1,1
15,11334,0,0,1
16,11335,0,0,1
17,11520,3,0,0
18,11521,3,0,0
19,11522,2,0,0
20,11523,2,0,0
21,11524,2,0,0
22,11525,1,0,0
23,11526,1,0,0
24,11527,0,1,1
25,11528,0,2,1
26,11529,0,0,1
27,11712,5,0,0
28,11713,5,0,0
29,11714,4,0,0
30,11715,4,0,0
31,11716,4,0,0
32,11717,2,0,0
33,11718,2,0,0
34,11719,1,0,0
35,11720,1,0,0
36,11721,0,1,1
37,11722,0,0,1
38,11723,0,2,1
39,11904,6,0,0
40,11905,6,0,0
41,11906,5,0,0
42,11907,5,0,0
43,11908,5,0,0
44,11909,3,0,0
45,11910,3,0,0
46,11911,2,0,0
47,11912,2,0,0
48,11913,1,0,0
49,11914,1,0,0
50,11915,0,1,1
51,11916,0,0,1
52,11917,0,1,1
53,12096,7,0,0
54,12097,7,0,0
55,12098,6,0,0
56,12099,6,0,0
57,12100,6,0,0
58,12101,4,0,0
59,12102,4,0,0
60,12103,3,0,0
61,12104,3,0,0
62,12105,2,0,0
63,12106,2,0,0
64,12107,1,0,0
65,12108,1,0,0
66,12109,0,0,1
67,12110,0,2,1
68,12111,0,0,1
69,12112,0,0,1
70,12288,10,0,0
71,12289,10,0,0
72,12290,8,0,0
73,12291,8,0,0
74,12292,8,0,0
75,12293,6,0,0
76,12294,6,0,0
77,12295,5,0,0
78,12296,4,0,0
79,12297,3,0,0
80,12298,3,0,0
81,12299,2,0,0
82,12300,2,0,0
83,12301,1,0,0
84,12302,1,0,0
85,12303,1,0,0
86,12304,0,1,1
87,12305,0,1,1
88,12306,0,1,1
89,12480,11,0,0
90,12481,11,0,0
91,12482,9,0,0
92,12483,9,0,0
93,12484,9,0,0
94,12485,7,0,0
95,12486,7,0,0
96,12487,6,0,0
97,12488,5,0,0
98,12489,4,0,0
99,12490,4,0,0
100,12491,3,0,0
101,12492,3,0,0
102,12493,2,0,0
103,12494,2,0,0
104,12495,2,0,0
105,12496,1,0,0
106,12497,1,0,0
107,12498,0,0,1
108,12499,0,0,1
109,12500,0,1,1
110,12672,12,0,0
111,12673,12,0,0
112,12674,10,0,0
113,12675,10,0,0
114,12676,10,0,0
115,12677,8,0,0
116,12678,8,0,0
117,12679,7,0,0
118,12680,6,0,0
119,12681,5,0,0
120,12682,5,0,0
121,12683,4,0,0
122,12684,4,0,0
123,12685,3,0,0
124,12686,3,0,0
125,12687,3,0,0
126,12688,2,0,0
127,12689,2,0,0
128,12690,1,0,0
129,12691,1,0,0
130,12692,0,0,1
131,12693,0,0,1
132,12694,0,2,1
133,12864,14,0,0
134,12865,14,0,0
135,12866,12,0,0
136,12867,12,0,0
137,12868,12,0,0
138,12869,10,0,0
139,12870,10,0,0
140,12871,9,0,0
141,12872,8,0,0
142,12873,6,0,0
143,12874,6,0,0
144,12875,5,0,0
145,12876,5,0,0
146,12877,4,0,0
147,12878,4,0,0
148,12879,4,0,0
149,12880,3,0,0
150,12881,3,0,0
151,12882,2,0,0
152,12883,2,0,0
153,12884,1,0,0
154,12885,1,0,0
155,12886,0,0,1
156,12887,0,2,1
157,12888,0,1,1
158,13056,15,0,0
159,13057,15,0,0
160,13058,13,0,0
161,13059,13,0,0
162,13060,13,0,0
163,13061,11,0,0
164,13062,11,0,0
165,13063,10,0,0
166,13064,9,0,0
167,13065,7,0,0
168,13066,7,0,0
169,13067,6,0,0
170,13068,6,0,0
171,13069,5,0,0
172,13070,5,0,0
173,13071,5,0,0
174,13072,4,0,0
175,13073,4,0,0
176,13074,3,0,0
177,13075,3,0,0
178,13076,2,0,0
179,13077,2,0,0
180,13078,1,0,0
181,13079,1,0,0
182,13080,1,0,0
183,13081,0,1,1
184,13082,0,4,1
185,13248,16,0,0
186,13249,16,0,0
187,13250,14,0,0
188,13251,14,0,0
189,13252,14,0,0
190,13253,12,0,0
191,13254,12,0,0
192,13255,11,0,0
193,13256,10,0,0
194,13257,8,0,0
195,13258,8,0,0
196,13259,7,0,0
197,13260,7,0,0
198,13261,6,0,0
199,13262,6,0,0
200,13263,6,0,0
201,13264,5,0,0
202,13265,5,0,0
203,13266,4,0,0
204,13267,4,0,0
205,13268,3,0,0
206,13269,3,0,0
207,13270,2,0,0
208,13271,2,0,0
209,13272,2,0,0
210,13273,1,0,0
211,13274,0,0,1
212,13275,0,0,1
213,13276,0,1,1
214,13277,0,1,1
215,13440,19,0,0
216,13441,19,0,0
217,13442,17,0,0
218,13443,17,0,0
219,13444,17,0,0
220,13445,14,0,0
221,13446,14,0,0
222,13447,13,0,0
223,13448,11,0,0
224,13449,10,0,0
225,13450,10,0,0
226,13451,9,0,0
227,13452,9,0,0
228,13453,8,0,0
229,13454,7,0,0
230,13455,7,0,0
231,13456,6,0,0
232,13457,6,0,0
233,13458,5,0,0
234,13459,5,0,0
235,13460,4,0,0
236,13461,4,0,0
237,13462,3,0,0
238,13463,3,0,0
239,13464,3,0,0
240,13465,2,0,0
241,13466,1,0,0
242,13467,1,0,0
243,13468,1,0,0
244,13469,0,0,1
245,13470,0,2,1
246,13632,20,0,0
247,13633,20,0,0
248,13634,18,0,0
249,13635,18,0,0
250,13636,18,0,0
251,13637,15,0,0
252,13638,15,0,0
253,13639,14,0,0
254,13640,12,0,0
255,13641,11,0,0
256,13642,11,0,0
257,13643,10,0,0
258,13644,10,0,0
259,13645,9,0,0
260,13646,8,0,0
261,13647,8,0,0
