Corr,X,Y
2,594765.983,1668580.181
2,594766.967,1668580.361
2,594767.95,1668580.541
2,594768.934,1668580.721
2,594769.917,1668580.901
2,594770.901,1668581.082
2,594771.745,1668581.236
2,594772.729,1668581.417
2,594773.713,1668581.597
2,594774.696,1668581.777
2,594775.68,1668581.958
2,594776.663,1668582.138
2,594777.647,1668582.319
2,594778.631,1668582.499
2,594779.614,1668582.679
2,594780.598,1668582.86
2,594780.739,1668582.886
2,594781.722,1668583.066
2,594782.706,1668583.246
2,594783.689,1668583.427
2,594784.673,1668583.607
2,594785.656,1668583.787
2,594786.64,1668583.968
2,594787.624,1668584.148
2,594788.607,1668584.329
2,594789.591,1668584.509
2,594790.574,1668584.689
2,594791.558,1668584.87
2,594792.542,1668585.05
2,594793.525,1668585.23
2,594794.509,1668585.411
2,594795.491,1668585.591
2,594796.475,1668585.771
2,594797.459,1668585.951
2,594798.442,1668586.131
2,594799.426,1668586.311
2,594800.41,1668586.492
2,594801.393,1668586.672
2,594802.377,1668586.852
2,594803.007,1668586.967
2,594803.991,1668587.148
2,594804.975,1668587.328
2,594805.958,1668587.508
2,594806.942,1668587.689
2,594807.925,1668587.869
2,594808.909,1668588.05
2,594809.893,1668588.23
2,594810.246,1668588.295
2,594811.23,1668588.475
2,594812.213,1668588.656
2,594813.197,1668588.836
2,594814.18,1668589.016
2,594815.164,1668589.197
2,594816.148,1668589.377
2,594817.131,1668589.557
2,594818.115,1668589.738
2,594819.098,1668589.918
2,594820.082,1668590.098
2,594821.066,1668590.279
2,594822.049,1668590.459
2,594823.033,1668590.639
2,594824.016,1668590.82
2,594825,1668591
2,594825,1668591
2,594825.967,1668591.258
2,594826.933,1668591.516
2,594827.899,1668591.773
2,594828.865,1668592.031
2,594829.832,1668592.288
2,594830.798,1668592.546
2,594831.764,1668592.804
2,594832.73,1668593.061
2,594833.697,1668593.319
2,594834.663,1668593.576
2,594835.629,1668593.834
2,594836.595,1668594.092
2,594837.562,1668594.349
2,594838.528,1668594.607
2,594839.494,1668594.865
2,594840.46,1668595.122
2,594841.014,1668595.27
2,594841.98,1668595.527
2,594842.946,1668595.785
2,594843.912,1668596.043
2,594844.878,1668596.3
2,594845.845,1668596.558
2,594846.811,1668596.816
2,594847.777,1668597.073
2,594848.743,1668597.331
2,594849.71,1668597.589
2,594850.676,1668597.846
2,594851.642,1668598.104
2,594852.608,1668598.362
2,594853.575,1668598.619
