Corr,X,Y
1,594764.999,1668580.000
1,594764.999,1668580.001
1,594765.022,1668581.001
1,594765.044,1668582.000
1,594765.066,1668583.000
1,594765.089,1668584.000
1,594765.111,1668585.000
1,594765.133,1668585.999
1,594765.155,1668586.999
1,594765.178,1668587.999
1,594765.200,1668588.999
1,594765.222,1668589.998
1,594765.245,1668590.998
1,594765.267,1668591.998
1,594765.289,1668592.998
1,594765.312,1668593.997
1,594765.334,1668594.997
1,594765.334,1668595.007
1,594765.356,1668596.007
1,594765.373,1668596.803
1,594765.396,1668597.802
1,594765.418,1668598.802
1,594765.440,1668599.802
1,594765.462,1668600.802
1,594765.484,1668601.802
1,594765.506,1668602.801
1,594765.529,1668603.801
1,594765.551,1668604.801
1,594765.573,1668605.801
1,594765.595,1668606.800
1,594765.617,1668607.800
1,594765.639,1668608.800
1,594765.662,1668609.800
1,594765.666,1668610.003
1,594765.688,1668611.003
1,594765.711,1668612.003
1,594765.733,1668613.003
1,594765.755,1668614.002
1,594765.777,1668615.002
1,594765.799,1668616.002
1,594765.822,1668617.002
1,594765.844,1668618.001
1,594765.866,1668619.001
1,594765.888,1668620.001
1,594765.911,1668621.001
1,594765.933,1668622.000
1,594765.955,1668623.000
1,594765.977,1668624.000
1,594765.999,1668624.999
1,594765.755,1668625.969
1,594765.511,1668626.939
1,594765.267,1668627.909
1,594765.023,1668628.878
1,594764.778,1668629.848
1,594764.534,1668630.818
1,594764.290,1668631.787
1,594764.046,1668632.757
1,594763.802,1668633.727
1,594763.557,1668634.697
1,594763.313,1668635.666
1,594763.069,1668636.636
1,594762.825,1668637.606
1,594762.581,1668638.575
1,594762.336,1668639.545
1,594762.092,1668640.515
1,594761.848,1668641.485
1,594761.604,1668642.454
1,594761.360,1668643.424
1,594761.307,1668643.634
1,594761.062,1668644.604
1,594760.818,1668645.574
1,594760.574,1668646.543
1,594760.330,1668647.513
1,594760.085,1668648.483
1,594759.964,1668648.964
1,594759.720,1668649.934
1,594759.476,1668650.904
1,594759.232,1668651.873
1,594758.988,1668652.843
1,594758.744,1668653.813
1,594758.499,1668654.782
1,594758.255,1668655.752
1,594758.011,1668656.722
1,594757.767,1668657.692
1,594757.644,1668658.180
1,594757.400,1668659.150
1,594757.155,1668660.120
1,594756.911,1668661.090
1,594756.667,1668662.059
1,594756.423,1668663.029
1,594756.179,1668663.999
1,594755.934,1668664.968
1,594755.690,1668665.938
1,594755.446,1668666.908
1,594755.202,1668667.878
1,594754.958,1668668.847
1,594754.713,1668669.817
1,594754.469,1668670.787
1,594754.225,1668671.756
1,594753.981,1668672.725
1,594753.737,1668673.694
1,594753.493,1668674.664
1,594753.248,1668675.634
1,594753.004,1668676.604
1,594752.760,1668677.573
1,594752.515,1668678.543
1,594752.271,1668679.513
1,594752.027,1668680.482
1,594751.867,1668681.115
1,594751.623,1668682.084
1,594751.379,1668683.054
1,594751.135,1668684.024
1,594750.890,1668684.994
1,594750.646,1668685.963
1,594750.402,1668686.933
1,594750.317,1668687.271
1,594750.072,1668688.241
1,594749.828,1668689.210
1,594749.584,1668690.180
1,594749.340,1668691.150
1,594749.096,1668692.120
1,594748.852,1668693.089
1,594748.607,1668694.059
1,594748.363,1668695.029
1,594748.119,1668695.998
1,594747.875,1668696.968
1,594747.631,1668697.938
1,594747.386,1668698.908
1,594747.142,1668699.877
1,594746.898,1668700.847
1,594746.654,1668701.817
1,594746.654,1668701.817
1,594746.410,1668702.787
1,594746.165,1668703.756
1,594745.921,1668704.726
1,594745.677,1668705.696
1,594745.432,1668706.665
1,594745.188,1668707.635
1,594744.944,1668708.605
1,594744.699,1668709.575
1,594744.455,1668710.544
1,594744.211,1668711.514
1,594743.967,1668712.484
1,594743.722,1668713.453
1,594743.546,1668714.155
1,594743.301,1668715.124
1,594743.057,1668716.094
1,594742.989,1668716.363
1,594742.745,1668717.333
1,594742.501,1668718.303
1,594742.257,1668719.272
1,594742.013,1668720.242
1,594741.768,1668721.212
1,594741.524,1668722.181
1,594741.280,1668723.151
1,594741.036,1668724.121
1,594740.792,1668725.091
1,594740.548,1668726.060
1,594740.303,1668727.030
1,594740.059,1668728.000
1,594739.815,1668728.970
1,594739.571,1668729.939
1,594739.327,1668730.909
1,594739.327,1668730.909
1,594739.082,1668731.879
1,594738.838,1668732.849
1,594738.594,1668733.818
1,594738.350,1668734.788
1,594738.106,1668735.758
1,594737.861,1668736.728
1,594737.617,1668737.697
1,594737.373,1668738.667
1,594737.129,1668739.637
1,594736.884,1668740.606
1,594736.640,1668741.576
1,594736.396,1668742.546
1,594736.152,1668743.516
1,594735.908,1668744.485
1,594735.664,1668745.454
1,594735.419,1668746.423
1,594735.175,1668747.393
1,594734.931,1668748.363
1,594734.686,1668749.332
1,594734.442,1668750.302
1,594734.330,1668750.748
1,594734.086,1668751.718
1,594733.841,1668752.687
1,594733.597,1668753.657
1,594733.353,1668754.627
1,594733.109,1668755.596
1,594732.864,1668756.566
1,594732.620,1668757.536
1,594732.376,1668758.505
1,594732.131,1668759.475
1,594731.999,1668760.000
1,594731.683,1668760.948
1,594731.367,1668761.897
1,594731.051,1668762.846
1,594730.735,1668763.795
1,594730.418,1668764.743
1,594730.102,1668765.692
1,594729.786,1668766.641
1,594729.470,1668767.589
1,594729.154,1668768.538
1,594728.838,1668769.487
1,594728.521,1668770.435
1,594728.205,1668771.384
1,594727.889,1668772.333
1,594727.573,1668773.282
1,594727.257,1668774.230
1,594726.941,1668775.179
1,594726.624,1668776.128
1,594726.308,1668777.076
1,594725.992,1668778.025
1,594725.948,1668778.158
1,594725.631,1668779.106
1,594725.315,1668780.055
1,594724.999,1668781.004
1,594724.683,1668781.952
1,594724.366,1668782.901
1,594724.050,1668783.850
1,594723.767,1668784.698
1,594723.451,1668785.646
1,594723.135,1668786.595
1,594722.818,1668787.544
1,594722.502,1668788.492
1,594722.186,1668789.441
1,594721.870,1668790.390
1,594721.553,1668791.338
1,594721.237,1668792.287
1,594721.203,1668792.388
1,594720.887,1668793.337
1,594720.571,1668794.286
1,594720.255,1668795.234
1,594719.938,1668796.183
1,594719.622,1668797.132
1,594719.306,1668798.080
1,594718.990,1668799.029
1,594718.674,1668799.978
1,594718.358,1668800.926
1,594718.041,1668801.875
1,594717.725,1668802.824
1,594717.409,1668803.773
1,594717.093,1668804.721
1,594716.777,1668805.670
1,594716.460,1668806.619
1,594716.144,1668807.567
1,594715.828,1668808.516
1,594715.593,1668809.221
1,594715.277,1668810.169
1,594714.961,1668811.118
1,594714.645,1668812.067
1,594714.329,1668813.015
1,594714.012,1668813.964
1,594713.696,1668814.913
1,594713.380,1668815.861
1,594713.064,1668816.810
1,594712.748,1668817.759
1,594712.431,1668818.707
1,594712.115,1668819.656
1,594711.799,1668820.605
1,594711.718,1668820.849
1,594711.401,1668821.798
1,594711.085,1668822.746
1,594710.769,1668823.695
1,594710.452,1668824.644
1,594710.136,1668825.592
1,594709.820,1668826.541
1,594709.503,1668827.489
1,594709.187,1668828.438
1,594708.871,1668829.387
1,594708.554,1668830.335
1,594708.238,1668831.284
1,594707.922,1668832.233
1,594707.674,1668832.975
1,594707.358,1668833.924
1,594707.042,1668834.873
1,594706.973,1668835.079
1,594706.657,1668836.028
1,594706.341,1668836.977
1,594706.024,1668837.925
1,594705.708,1668838.874
1,594705.392,1668839.823
1,594705.076,1668840.771
1,594704.760,1668841.720
1,594704.444,1668842.669
1,594704.127,1668843.618
1,594703.811,1668844.566
1,594703.495,1668845.515
1,594703.179,1668846.464
1,594702.863,1668847.412
1,594702.546,1668848.361
1,594702.230,1668849.310
1,594701.914,1668850.258
1,594701.598,1668851.207
1,594701.282,1668852.156
1,594700.965,1668853.104
1,594700.649,1668854.053
1,594700.333,1668855.002
1,594700.017,1668855.951
1,594699.701,1668856.899
1,594699.384,1668857.848
1,594699.068,1668858.797
1,594698.752,1668859.745
1,594698.436,1668860.694
1,594698.120,1668861.643
1,594697.804,1668862.591
1,594697.487,1668863.540
1,594697.171,1668864.489
1,594696.855,1668865.437
1,594696.539,1668866.386
1,594696.222,1668867.335
1,594695.906,1668868.283
1,594695.590,1668869.232
1,594695.274,1668870.181
1,594694.957,1668871.129
1,594694.641,1668872.078
1,594694.328,1668873.018
1,594694.011,1668873.967
1,594693.695,1668874.916
1,594693.379,1668875.864
1,594693.062,1668876.813
1,594692.746,1668877.762
1,594692.743,1668877.770
1,594692.427,1668878.719
1,594692.111,1668879.668
1,594691.794,1668880.616
1,594691.478,1668881.565
1,594691.162,1668882.514
1,594690.846,1668883.463
1,594690.530,1668884.411
1,594690.213,1668885.360
1,594689.897,1668886.309
1,594689.581,1668887.257
1,594689.265,1668888.206
1,594688.949,1668889.155
1,594688.632,1668890.103
1,594688.316,1668891.052
1,594688.000,1668892.001
1,594687.647,1668892.936
1,594687.295,1668893.872
1,594686.942,1668894.808
1,594686.589,1668895.744
1,594686.236,1668896.679
1,594685.884,1668897.615
1,594685.531,1668898.551
1,594685.178,1668899.487
1,594684.826,1668900.422
