Corr,X,Y
3,595110.202,1669297.597
3,595110.631,1669296.694
3,595111.06,1669295.79
3,595111.489,1669294.887
3,595111.918,1669293.984
3,595112.347,1669293.08
3,595112.776,1669292.177
3,595113.205,1669291.274
3,595113.634,1669290.371
3,595114.063,1669289.467
3,595114.492,1669288.564
3,595114.921,1669287.661
3,595115.35,1669286.758
3,595115.779,1669285.854
3,595116.208,1669284.951
3,595116.637,1669284.048
3,595117.066,1669283.144
3,595117.496,1669282.241
3,595117.925,1669281.338
3,595118.354,1669280.435
3,595118.783,1669279.531
3,595119.212,1669278.628
3,595119.641,1669277.725
3,595120.07,1669276.821
3,595120.499,1669275.918
3,595120.928,1669275.015
3,595121.357,1669274.112
3,595121.786,1669273.208
3,595122.215,1669272.305
3,595122.644,1669271.402
3,595123.073,1669270.499
3,595123.502,1669269.595
3,595123.931,1669268.692
3,595124.36,1669267.789
3,595124.79,1669266.885
3,595125.219,1669265.982
3,595125.648,1669265.079
3,595126.077,1669264.176
3,595126.506,1669263.272
3,595126.704,1669262.856
3,595127.376,1669262.116
3,595128.049,1669261.376
3,595128.722,1669260.636
3,595129.394,1669259.896
3,595130.067,1669259.156
3,595130.74,1669258.416
3,595131.412,1669257.676
3,595132.085,1669256.936
3,595132.758,1669256.196
3,595133.43,1669255.456
3,595134.103,1669254.717
3,595134.776,1669253.977
3,595135.448,1669253.237
3,595136.121,1669252.497
3,595136.794,1669251.757
3,595137.466,1669251.017
3,595138.139,1669250.277
3,595138.812,1669249.537
3,595139.484,1669248.797
3,595140.157,1669248.057
3,595140.83,1669247.317
3,595141.502,1669246.577
3,595142.175,1669245.837
3,595142.848,1669245.097
3,595143.52,1669244.357
3,595144.193,1669243.617
3,595144.866,1669242.877
3,595145.538,1669242.138
3,595146.211,1669241.398
3,595146.884,1669240.658
3,595147.556,1669239.918
3,595148.229,1669239.178
3,595148.902,1669238.438
3,595149.574,1669237.698
3,595150.247,1669236.958
3,595150.92,1669236.218
3,595151.592,1669235.478
3,595152.265,1669234.738
3,595152.938,1669233.998
3,595153.61,1669233.258
3,595154.283,1669232.518
3,595154.956,1669231.778
3,595155.628,1669231.038
3,595156.301,1669230.298
3,595156.974,1669229.559
3,595157.647,1669228.819
3,595158.319,1669228.079
3,595158.992,1669227.339
3,595159.665,1669226.599
3,595160.337,1669225.859
3,595161.01,1669225.119
3,595161.683,1669224.379
3,595162.355,1669223.639
3,595163.028,1669222.899
3,595163.043,1669222.883
3,595163.308,1669221.918
3,595163.572,1669220.954
3,595163.837,1669219.99
3,595164.102,1669219.025
3,595164.366,1669218.061
3,595164.631,1669217.097
3,595164.896,1669216.132
3,595165.161,1669215.168
3,595165.425,1669214.204
3,595165.69,1669213.239
3,595165.955,1669212.275
3,595166.219,1669211.311
3,595166.484,1669210.346
3,595166.749,1669209.382
3,595167.014,1669208.418
3,595167.278,1669207.453
3,595167.543,1669206.489
3,595167.808,1669205.525
3,595168.072,1669204.56
3,595168.337,1669203.596
3,595168.602,1669202.632
3,595168.867,1669201.667
3,595169.131,1669200.703
3,595169.396,1669199.739
3,595169.661,1669198.774
3,595169.926,1669197.81
3,595170.19,1669196.846
3,595170.455,1669195.881
3,595170.72,1669194.917
3,595170.984,1669193.953
3,595171.249,1669192.989
3,595171.514,1669192.024
3,595171.779,1669191.06
3,595172.043,1669190.096
3,595172.308,1669189.131
3,595172.573,1669188.167
3,595172.837,1669187.203
3,595173.102,1669186.238
3,595173.367,1669185.274
3,595173.632,1669184.31
3,595173.896,1669183.345
3,595174.161,1669182.381
3,595174.426,1669181.417
3,595174.69,1669180.452
3,595174.955,1669179.488
3,595175.22,1669178.524
3,595175.485,1669177.559
3,595175.749,1669176.595
3,595176.014,1669175.631
3,595176.279,1669174.666
3,595176.543,1669173.702
3,595176.808,1669172.738
3,595177.073,1669171.773
3,595177.338,1669170.809
3,595177.602,1669169.845
3,595177.867,1669168.88
3,595178.132,1669167.916
3,595178.396,1669166.952
3,595178.661,1669165.987
3,595178.926,1669165.023
3,595179.191,1669164.059
3,595179.455,1669163.094
3,595179.72,1669162.13
3,595179.985,1669161.166
3,595180.249,1669160.201
3,595180.514,1669159.237
3,595180.779,1669158.273
3,595181.044,1669157.308
3,595181.308,1669156.344
3,595181.573,1669155.38
3,595181.838,1669154.415
3,595182.102,1669153.451
3,595182.367,1669152.487
3,595182.632,1669151.522
3,595182.897,1669150.558
3,595183.161,1669149.594
3,595183.426,1669148.63
3,595183.691,1669147.665
3,595183.956,1669146.701
3,595184.22,1669145.737
3,595184.485,1669144.772
3,595184.75,1669143.808
3,595185.014,1669142.844
3,595185.279,1669141.879
