R2ID,Identificador,Dist,Ranitas_C6M,C6M
1089,7709,16,0,0
1090,7710,16,0,0
1091,7711,16,0,0
1092,7712,16,0,0
1093,7713,16,0,0
1094,7714,16,0,0
1095,7715,15,0,0
1096,7716,15,0,0
1097,7717,15,0,0
1098,7718,15,0,0
1099,7719,15,0,0
1100,7720,15,0,0
1101,7721,14,0,0
1102,7722,14,0,0
1103,7723,14,0,0
1104,7724,15,0,0
1105,7725,15,0,0
1106,7726,15,0,0
1107,7727,15,0,0
1108,7728,15,0,0
1109,7729,15,0,0
1110,7730,14,0,0
1111,7731,14,0,0
1112,7732,14,0,0
1113,7733,13,0,0
1114,7734,13,0,0
1115,7735,13,0,0
1116,7736,13,0,0
1117,7737,13,0,0
1118,7738,13,0,0
1119,7739,13,0,0
1120,7740,13,0,0
1121,7741,12,0,0
1122,7742,13,0,0
1123,7743,13,0,0
1124,7744,13,0,0
1125,7745,14,0,0
1126,7746,13,0,0
1127,7747,13,0,0
1128,7748,12,0,0
1129,7749,12,0,0
1130,7750,11,0,0
1131,7751,11,0,0
1132,7752,11,0,0
1133,7753,10,0,0
1134,7754,10,0,0
1135,7755,10,0,0
1136,7756,9,0,0
1137,7757,8,0,0
1138,7758,8,0,0
1139,7759,7,0,0
1140,7760,7,0,0
1141,7761,6,0,0
1142,7762,5,0,0
1143,7763,5,0,0
1144,7764,3,0,0
1145,7765,2,0,0
1146,7766,2,0,0
1147,7767,0,0,1
1148,7768,0,1,1
1149,7872,27,0,0
1150,7873,28,0,0
1151,7874,29,0,0
1152,7875,30,0,0
1153,7876,30,0,0
1154,7877,32,0,0
1155,7878,32,0,0
1156,7879,32,0,0
1157,7880,20,0,0
1158,7881,20,0,0
1159,7882,20,0,0
1160,7883,21,0,0
1161,7884,19,0,0
1162,7885,19,0,0
1163,7886,20,0,0
1164,7887,19,0,0
1165,7888,19,0,0
1166,7889,20,0,0
1167,7890,20,0,0
1168,7891,19,0,0
1169,7892,20,0,0
1170,7893,20,0,0
1171,7894,18,0,0
1172,7895,18,0,0
1173,7896,18,0,0
1174,7897,18,0,0
1175,7898,18,0,0
1176,7899,18,0,0
1177,7900,18,0,0
1178,7901,17,0,0
1179,7902,17,0,0
1180,7903,17,0,0
1181,7904,17,0,0
1182,7905,17,0,0
1183,7906,17,0,0
1184,7907,16,0,0
1185,7908,16,0,0
1186,7909,16,0,0
1187,7910,16,0,0
1188,7911,16,0,0
1189,7912,16,0,0
1190,7913,15,0,0
1191,7914,15,0,0
1192,7915,15,0,0
1193,7916,16,0,0
1194,7917,16,0,0
1195,7918,16,0,0
1196,7919,16,0,0
1197,7920,16,0,0
1198,7921,16,0,0
1199,7922,15,0,0
1200,7923,15,0,0
1201,7924,15,0,0
1202,7925,14,0,0
1203,7926,14,0,0
1204,7927,14,0,0
1205,7928,14,0,0
1206,7929,14,0,0
1207,7930,14,0,0
1208,7931,14,0,0
1209,7932,14,0,0
1210,7933,13,0,0
1211,7934,14,0,0
1212,7935,14,0,0
1213,7936,14,0,0
1214,7937,15,0,0
1215,7938,14,0,0
