I,Elev_Rel
797,6
798,6
799,6
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,6
813,6
814,6
815,6
816,6
817,6
818,6
819,6
820,6
821,6
822,6
823,6
824,6
825,6
826,6
827,6
828,6
829,6
830,6
831,6
832,6
833,6
834,6
835,6
836,7
837,7
838,7
839,7
840,7
841,7
842,7
843,7
844,7
845,8
846,8
847,8
848,10
849,10
850,10
851,11
852,11
853,12
854,13
855,13
856,14
857,15
858,15
859,17
860,17
861,17
862,18
863,18
864,19
865,19
866,19
867,20
868,20
869,20
870,21
871,21
872,21
873,21
874,21
875,21
876,21
877,21
878,21
879,21
880,21
881,21
882,22
883,22
884,22
885,23
886,23
887,23
888,24
889,24
890,24
891,24
892,24
893,24
894,25
895,25
896,25
897,28
898,28
899,28
900,28
901,28
902,26
903,27
904,27
905,27
906,28
907,28
908,28
909,27
910,27
911,26
912,23
913,23
914,23
915,23
916,23
917,23
918,23
919,23
920,21
921,21
922,21
923,21
924,21
925,21
926,21
927,21
928,21
929,21
930,19
931,16
932,16
933,16
934,16
935,16
936,16
937,16
938,16
939,17
940,17
941,17
942,17
943,14
944,14
945,14
946,14
947,14
948,15
949,15
950,15
951,15
952,15
953,15
954,14
955,14
956,14
957,13
958,13
959,13
960,8
961,8
962,8
963,8
964,8
965,9
966,9
967,9
968,10
969,10
970,10
971,10
972,10
973,9
974,10
975,10
976,10
977,10
978,10
979,10
980,10
981,10
982,10
983,8
984,8
985,8
986,8
987,8
988,8
989,6
990,6
991,6
992,5
993,5
994,5
995,5
996,5
997,5
998,5
999,5
1000,5
1001,5
1002,5
1003,5
1004,6
1005,6
1006,6
1007,6
1008,6
1009,6
1010,6
1011,6
1012,6
1013,6
1014,6
1015,6
1016,6
1017,6
1018,6
1019,6
1020,6
1021,6
1022,6
1023,6
1024,6
1025,6
1026,6
1027,6
1028,7
1029,7
1030,7
1031,7
1032,7
1033,7
1034,7
1035,7
1036,7
1037,8
1038,8
1039,8
1040,10
1041,10
1042,10
1043,11
1044,11
1045,12
1046,13
1047,13
1048,14
1049,15
1050,15
1051,17
1052,17
1053,17
1054,18
1055,18
1056,19
1057,19
1058,19
1059,20
1060,20
1061,20
1062,21
1063,21
1064,21
1065,21
1066,21
1067,21
1068,21
1069,21
1070,21
1071,21
1072,21
1073,21
1074,22
1075,22
1076,22
1077,23
1078,23
1079,23
1080,24
1081,24
1082,24
1083,24
1084,24
1085,24
1086,25
1087,25
1088,25
1089,28
1090,28
1091,28
1092,28
1093,28
1094,26
1095,27
1096,27
1097,27
1098,28
1099,28
1100,28
1101,27
1102,27
1103,26
1104,23
1105,23
1106,23
1107,23
1108,23
1109,23
1110,23
1111,23
1112,21
1113,21
1114,21
1115,21
1116,21
1117,21
1118,21
1119,21
1120,21
1121,21
1122,19
1123,16
1124,16
1125,16
1126,16
1127,16
1128,16
1129,16
1130,16
1131,17
1132,17
1133,17
1134,17
1135,14
1136,14
1137,14
1138,14
1139,14
1140,15
1141,15
1142,15
1143,15
1144,15
1145,15
1146,14
1147,14
1148,14
1149,13
1150,13
1151,13
1152,8
1153,8
1154,8
1155,8
1156,8
1157,9
1158,9
1159,9
1160,10
1161,10
1162,10
1163,10
1164,10
1165,9
1166,10
1167,10
1168,10
1169,10
1170,10
1171,10
1172,10
1173,10
1174,10
1175,8
1176,8
1177,8
1178,8
1179,8
1180,8
1181,6
1182,6
1183,6
1184,5
1185,5
1186,5
1187,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1196,6
1197,6
1198,6
1199,6
1200,6
1201,6
1202,6
1203,6
1204,6
1205,6
1206,6
1207,6
1208,6
1209,6
1210,6
1211,6
1212,6
1213,6
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,7
1221,7
1222,7
1223,7
1224,7
1225,7
1226,7
1227,7
1228,7
1229,8
1230,8
1231,8
1232,10
1233,10
1234,10
1235,11
1236,11
1237,12
1238,13
1239,13
1240,14
1241,15
1242,15
1243,17
1244,17
1245,17
1246,18
1247,18
1248,19
1249,19
1250,19
1251,20
1252,20
1253,20
1254,21
1255,21
1256,21
1257,21
1258,21
1259,21
1260,21
1261,21
1262,21
1263,21
1264,21
1265,21
1266,22
1267,22
1268,22
1269,23
1270,23
1271,23
1272,24
1273,24
1274,24
1275,24
1276,24
1277,24
1278,25
1279,25
1280,25
1281,28
1282,28
1283,28
1284,28
1285,28
1286,26
1287,27
1288,27
1289,27
1290,28
1291,28
1292,28
1293,27
1294,27
1295,26
1296,23
1297,23
1298,23
1299,23
1300,23
1301,23
1302,23
1303,23
1304,21
1305,21
1306,21
1307,21
1308,21
1309,21
1310,21
1311,21
1312,21
1313,21
1314,19
1315,16
1316,16
1317,16
1318,16
1319,16
1320,16
1321,16
1322,16
1323,17
1324,17
1325,17
1326,17
1327,14
1328,14
1329,14
1330,14
1331,14
1332,15
1333,15
1334,15
1335,15
1336,15
1337,15
1338,14
1339,14
1340,14
1341,13
1342,13
1343,13
1344,5
1345,5
1346,6
1347,6
1348,6
1349,6
1350,6
1351,6
1352,8
1353,8
1354,8
1355,8
1356,8
1357,7
1358,8
1359,8
1360,8
1361,9
1362,9
1363,9
1364,8
1365,8
1366,8
1367,7
1368,7
1369,7
1370,6
1371,6
1372,6
1373,5
1374,5
1375,5
1376,4
1377,4
1378,4
1379,4
1380,4
1381,4
1382,4
1383,4
1384,4
1385,4
1386,4
1387,4
1388,4
1389,4
1390,4
1391,5
1392,5
1393,5
1394,5
1395,5
1396,5
1397,5
1398,5
1399,5
1400,5
1401,5
1402,5
1403,5
1404,5
1405,5
1406,6
1407,6
1408,6
1409,5
1410,5
1411,5
1412,6
1413,6
1414,6
1415,6
1416,6
1417,6
1418,7
1419,7
1420,7
1421,8
1422,8
1423,8
1424,10
1425,10
1426,10
1427,11
1428,11
1429,12
1430,13
1431,13
1432,14
1433,15
1434,15
1435,16
1436,17
1437,17
1438,18
1439,18
1440,18
1441,18
1442,19
1443,20
1444,20
1445,20
1446,21
1447,21
1448,21
1449,21
1450,21
1451,21
1452,21
1453,21
1454,21
1455,22
1456,22
1457,22
1458,22
1459,22
1460,22
1461,23
1462,23
1463,23
1464,24
1465,24
1466,24
1467,24
1468,24
1469,24
1470,25
1471,25
1472,25
1473,26
1474,26
1475,26
1476,27
1477,27
1478,26
1479,27
1480,27
1481,27
1482,27
1483,27
1484,27
1485,27
1486,27
1487,26
1488,23
1489,23
1490,23
1491,23
1492,23
1493,23
1494,23
1495,23
1496,21
1497,21
1498,21
1499,21
1500,22
1501,22
1502,22
1503,22
1504,22
1505,22
1506,20
1507,17
1508,17
1509,17
1510,17
1511,17
1512,17
1513,17
1514,17
1515,18
1516,18
1517,18
1518,18
1519,15
1520,15
1521,16
1522,16
1523,16
1524,16
1525,16
1526,16
1527,17
1528,17
1529,17
1530,15
1531,15
1532,15
1533,13
1534,13
1535,13
1536,5
1537,5
1538,6
1539,6
1540,6
1541,6
1542,6
1543,6
1544,8
1545,8
1546,8
1547,8
1548,8
1549,7
1550,8
1551,8
1552,8
1553,9
1554,9
1555,9
1556,8
1557,8
1558,8
1559,7
1560,7
1561,7
1562,6
1563,6
1564,6
1565,5
1566,5
1567,5
1568,4
1569,4
1570,4
1571,4
1572,4
1573,4
1574,4
1575,4
1576,4
1577,4
1578,4
1579,4
1580,4
